name,born,gender_details,basic
Lee Aaker,"['Born: 25-Sep-1943', 'Birthplace: Los Angeles, CA']","['Gender: Male', 'Race or Ethnicity: White', 'Occupation: Actor']",['Brother: Dee Aaker (b. 17-Jul-1941)']
Aaliyah,"['Born: 16-Jan-1979', 'Birthplace: Brooklyn, NY']","['Gender: Female', 'Race or Ethnicity: Black', 'Sexual orientation: Straight', 'Occupation: Singer']","['Father: Michael Haughton', 'Mother: Diane', 'Brother: Rashad Haughton', 'Husband: R. Kelly (m. 1994, annulled that same year)', 'Boyfriend: Damon Dash (Roc-a-Fella co-CEO)']"
Alvar Aalto,"['Born: 3-Feb-1898', 'Birthplace: Kurotane, Finland']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Architect, Designer']","['Wife: Aino Marsio (architect, m. 6-Oct-1924, d. 13-Jan-1949, 2 children)', 'Daughter: Johanna (b. 1925)', 'Son: Hamilkar (b. 1928)', 'Wife: Elissa Aalto (architect, m. 4-Oct-1952)']"
Willie Aames,"['Born: 15-Jul-1960', 'Birthplace: Newport Beach, CA']","['Gender: Male', 'Religion: Christian', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Actor']","['Wife: Victoria Weatherman (div., one son)', 'Son: Christopher', 'Wife: Maylo McCaslin (actress, m. 1986, sep. 2008, one daughter)', 'Daughter: Harleigh']"
Kjetil André Aamodt,"['Born: 2-Sep-1971', 'Birthplace: Oslo, Norway']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Skier']","['Father: Finn Dag Aamodt', 'Wife: Stine Østvold (gymnast, one daughter)', 'Daughter: Erle']"
Fred G. Aandahl,"['Born: 9-Apr-1897', 'Birthplace: Litchville, ND']","['Gender: Male', 'Religion: Lutheran', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Politician', 'Party Affiliation: Republican']","['Father: Soren J. Aandahl (""Sam"", d. 1922)', 'Mother: Mamie C. Lawry (d. 1923)', 'Wife: Luella Brekke (m. 28-Jun-1926, three daughters)', 'Daughter: Louise', 'Daughter: Margaret', 'Daughter: Marilyn']"
Caroline Aaron,"['Born: 7-Aug-1952', 'Birthplace: Richmond, VA']","['Gender: Female', 'Religion: Jewish', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Actor']","['Father: Abraham Aaron Abady (b. 15-Jan-1916, d. 11-Jul-1965)', 'Mother: Nina Friedman Abady (civil rights activist, b. 16-May-1924, d. 5-Nov-1993)', 'Sister: Josephine Rose Abady (artistic director, Cleveland Playhouse, b. 21-Aug-1949, d. 25-May-2002)', 'Brother: Samuel Aaron Abady (attorney, b. 7-Dec-1954)', 'Husband: James Foreman (real estate broker, m. 1981, two sons)', 'Son: Ben', 'Son: Sydney']"
Hank Aaron,"['Born: 5-Feb-1934', 'Birthplace: Mobile, AL']","['Gender: Male', 'Race or Ethnicity: Black', 'Sexual orientation: Straight', 'Occupation: Baseball', 'Party Affiliation: Democratic']","['Father: Herbert Aaron', 'Mother: Estella (d. 7-Apr-2008)', 'Sister: Gloria Delilah Aaron (school employee, d. 8-May-2004)', 'Brother: James', 'Sister: Alfredia', 'Wife: Barbara Lucas (m. 1953, div. 1971, four children)', 'Wife: Billye Williams (m. 1973, one daughter)', 'Daughter: Ceci (with Williams)']"
Tommy Aaron,"['Born: 22-Feb-1937', 'Birthplace: Gainesville, GA']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Golf']","['Wife: Jimmye (one daughter, one son)', 'Daughter: Lynn (ballerina, b. 1962)', 'Son: Tom (b. 1968)']"
Sani Abacha,"['Born: 20-Sep-1943', 'Birthplace: Kano, Kano State, Nigeria']","['Gender: Male', 'Religion: Muslim', 'Race or Ethnicity: Black', 'Sexual orientation: Straight', 'Occupation: Head of State']","['Wife: Maryam Jidah', 'Son: Mohammed Abacha']"
